Channel distribution report
"May 6, 2026 - June 4, 2026"
Channel,Status,Impr.,Clicks,Interactions,Conversions,Conv. value,Currency code,Cost,Results,Results value,Reports
Google Display Network, --,"421,342","50,483","50,541","38,536.82",1.00,VND,4465054,"Add to cart: 4.29; Contact: 64.53; Outbound click: 170.67; Page View: 38,498.91; Submit lead form: 1,079.82",Page View: 1.00,"[CLICK, ENGAGEMENT]"
YouTube, --,"28,141","1,738","4,721",603.01,0.00,VND,461542,Contact: 5.00; Outbound click: 24.00; Page View: 603.01; Submit lead form: 206.00,0,"[CLICK, ENGAGEMENT]"
Search partners, --,36,2,2,0.00,0.00,VND,1956,0,0,[CLICK]
Gmail, --,0,0,0,0.00,0.00,VND,0,0,0, --
Google Search, --,"1,110",67,67,4.72,0.00,VND,176690,Add to cart: 0.06; Page View: 4.72; Submit lead form: 4.55,0,[CLICK]
Discover, --,"30,657",673,"4,608",206.54,7.00,VND,345430,Contact: 4.00; Outbound click: 8.00; Page View: 203.54; Submit lead form: 3.00,Page View: 7.00,"[CLICK, ENGAGEMENT]"
Maps, --,7,0,0,0.00,0.00,VND,0,0,0, --
Total: ,,"481,293","52,963","59,939","39,351.09",8.00,VND,5450671,"Add to cart: 4.35; Contact: 73.53; Outbound click: 202.67; Page View: 39,310.18; Submit lead form: 1,293.37",Page View: 8.00,"[CLICK, ENGAGEMENT]"
