Device,Impressions,Clicks,CTR (%),Avg CPC (USD),Cost (USD),Conversions,Conversion Rate (%)
OTHER,1,0,0,0.0,0.0,0,0
DESKTOP,3347,46,1.37,2836.65,130485.99,14,30.43
MOBILE,454261,50827,11.19,100.51,5108615.83,37270,73.33
TABLET,28964,2537,8.76,94.69,240219.02,2240,88.29
CONNECTED_TV,21,0,0,0.0,18.25,0,0
